"title","clientSpent","estimatedBudget","paymentVerified","techStack","matchesInDescription","keyword","link","jobDescription","date","proposal"
"Cloud Infrastructure Engineer","$1M+
spent","Hourly: $15.00 - $30.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Cloud Engineering, Cloud Implementation, Cloud Migration","Yes","gcp","https://www.upwork.com/jobs/Cloud-Infrastructure-Engineer_~021920514094388762999/?referrer_url_path=/nx/search/jobs/","Requirements : 5+ years of experience in an enterprise operational IT environment Strong understanding of cloud computing principles and best practices, including architecture, security, networking, storage, and performance optimization. Strong experience with AWS, Azure, GCP, IAM, SAML 2.0 Experience with scripting languages such as Python or PowerShell is recommended. 5+ years of experience supporting complementary Wintel environments (On-Premises and Cloud) including core MS Infrastructure (AD, AAD, DNS, Group Policy). Experience in infrastructure-as-code tools such as CloudFormation, Terraform, or AWS CDK. Bachelor’s degree in Computer Science or related field. Roles and Responsibilities Design and manage hybrid cloud environments, integrating on-prem and cloud solutions, Deploy, configure, and manage enterprise storage solutions (NAS, SAN) ensuring data security and redundancy Develop and manage CI/CD pipelines using tools for automated code deployment and infrastructure updates Participating in disaster recovery planning and testing on a regular basis. Participating in capacity planning and forecasting for cloud resources. Continuously monitor and optimize the performance and security of the cloud environment. Deploy, configure, and maintain enterprise storage solutions such as NAS and SAN, ensuring data security, redundancy, and high availability. Manage identity platforms (Azure Active Directory, Okta, etc.) to ensure secure identity management, access control, and single sign-on (SSO) implementations. Apply security patches, perform hardware and software upgrades, and ensure systems are compliant with security and regulatory standards. Providing technical guidance and support to other teams in the organization. Creating and maintaining documentation for cloud infrastructure and procedures. Optimize cloud resources for performance, security, and cost-efficiency Support and test cloud technologies and industry trends. Investigate and resolve server, storage, and network performance issues and optimize system performance.","2025-05-28",""
"GCP / PM2 / Cloud Run Expert Needed for Video Conversion & Auto-Scaling Fixes","$900K+
spent","Hourly: $25.00 - $47.00 Expert Est. time: 1 to 3 months, 30+ hrs/week","Yes","Node.js, FFmpeg, Containerization","Yes","gcp","https://www.upwork.com/jobs/span-class-highlight-GCP-span-PM2-Cloud-Run-Expert-Needed-for-Video-Conversion-amp-Auto-Scaling-Fixes_~021915066215233484061/?referrer_url_path=/nx/search/jobs/","Description: We're looking for an experienced backend engineer or DevOps expert to help us troubleshoot and resolve a critical issue in our production environment. Project Overview: Our portal allows users to upload video files (specifically .MOV format), which are then converted to .MP4 via backend processes. The system is deployed using Google Cloud Platform (GCP) services including Cloud Run, and managed using PM2 for process management. The problem arises when users upload large .MOV files (300MB+), and multiple files get queued. The backend process responsible for the video conversion crashes—specifically, the PM2 namespace crashes and fails to automatically recover. We're currently restarting the process manually via sudo pm2 start 8, which is not scalable or sustainable. We need someone to: * Investigate and resolve why PM2 crashes under load * Optimize the video conversion process for better memory and CPU management * Implement auto-restart or recovery mechanisms for the PM2 process * Suggest and implement improvements in how our containers scale under heavy loads * Ensure overall system reliability and uptime * Tech Stack / Tools Involved: * Google Cloud Platform (GCP) * Cloud Run * Cloud Storage * PM2 (Process Manager) * FFmpeg (or equivalent for video conversion) * Node.js (Backend service, assuming from PM2 usage) * Docker / Containerization * Linux / Shell scripting What We're Looking For: - Proven experience with GCP and containerized environments (Cloud Run especially) - Deep understanding of PM2, process monitoring, and auto-recovery strategies - Strong knowledge of FFmpeg or video processing tools - Experience optimizing performance for file-heavy, CPU-intensive applications - Familiarity with container scaling, memory limits, and process isolation - Ability to work independently and communicate clearly Bonus Points: - Experience with setting up monitoring/logging tools (e.g., Stackdriver, Prometheus, etc.) - Experience handling large media files in production environments Project Urgency: This is a high-priority issue that needs immediate attention. Please only apply if you're available to start right away and have relevant hands-on experience. To Apply: Please briefly describe your experience with the relevant tech stack, any similar problems you’ve solved, and your availability for the next few days.","2025-05-28",""
"Senior DevOps/Cloud Engineer to Set Up Staging Environment on GCP","$900K+
spent","Fixed price Expert Est. budget: $2,000.00","Yes","Google Cloud Platform, DevOps, CI/CD, Deployment Automation, CI/CD Platform","Yes","gcp","https://www.upwork.com/jobs/Senior-DevOps-Cloud-Engineer-Set-Staging-Environment-span-class-highlight-GCP-span_~021919021662441678904/?referrer_url_path=/nx/search/jobs/","We are looking for an experienced DevOps Engineer / Cloud Specialist to help us set up a dedicated staging environment on Google Cloud Platform (GCP). Our current live application uses MySQL, Airtable, React.js, and Node.js, but we lack a proper staging environment for testing before production releases. You will be responsible for: ✅ Creating an isolated staging environment in GCP (separate from production) ✅ Configuring MySQL (Cloud SQL) for staging with proper data synchronization/masking ✅ Setting up Airtable staging base with schema sync ✅ Deploying Node.js backend and React.js frontend with staging-specific configurations ✅ Implementing CI/CD pipelines (GitHub Actions/GitLab CI/Jenkins) for automated staging deployments ✅ Configuring networking, DNS, SSL, and access controls for staging ✅ Integrating monitoring & logging (Stackdriver, Prometheus, Sentry, etc.) ✅ Documenting the setup and training the team on staging workflows Required Skills & Experience: ✔ Proven experience setting up staging/production environments (GCP preferred, AWS/Azure acceptable) ✔ Strong knowledge of GCP services (Compute Engine, Cloud SQL, IAM, Networking) ✔ Experience with MySQL database management, replication, and data masking ✔ Familiarity with Airtable API & automation (or ability to set up a staging base) ✔ Expertise in Node.js & React.js deployment strategies ✔ CI/CD pipelines (GitHub Actions, GitLab CI, Jenkins, or similar) ✔ Infrastructure as Code (Terraform/Pulumi) – Nice to have ✔ Knowledge of security best practices (SSL, access controls, PII masking) ✔ Strong documentation & communication skills In your proposal please share the timeline in which you can achive this.","2025-05-28",""
"Lead DevOps Engineer","$700K+
spent","Hourly: $35.00 - $40.00 Expert Est. time: More than 6 months, Hours to be determined","Yes","DevOps, CI/CD","Yes","gcp","https://www.upwork.com/jobs/Lead-DevOps-Engineer_~021923404009924270060/?referrer_url_path=/nx/search/jobs/","Role Overview We’re hiring a Lead DevOps Engineer to drive the architecture and operational excellence of our GCP-native infrastructure. This role leads a team of 4 engineers and is critical to scaling our systems with high reliability, security, and observability. You'll own the CI/CD lifecycle, manage Kubernetes at scale, and champion observability through Open Telemetry and tools like Grafana, Datadog, and Sentry. We're looking for someone hands-on, collaborative, and passionate about automation, GitOps, and building high-performing infrastructure in a modern SaaS environment. Key Responsibilities Team Leadership & Technical Direction: Lead a team of 4 DevOps engineers, setting priorities, mentoring team members, and defining best practices for cloud-native infrastructure and operations. CI/CD & GitOps Workflows: Build and maintain robust GitLab CI/CD pipelines with ArgoCD, applying GitOps practices to streamline and secure deployments. Kubernetes Management: Administer and evolve our GKE clusters to support a growing set of microservices with a focus on security, cost-efficiency, and high availability. Infrastructure as Code: Use Terraform to manage all infrastructure components in GCP, ensuring consistency and scalability through Infrastructure as Code. Observability & Monitoring: Drive a comprehensive observability strategy using OpenTelemetry for distributed tracing, along with Grafana, Datadog, and Sentry for metrics, dashboards, and alerting. Database Reliability: Oversee the performance, uptime, and cost of our PostgreSQL, Elasticsearch, and ClickHouse databases, ensuring proper indexing and query performance. Disaster Recovery & Resilience: Define and implement disaster recovery strategies across GCP and Kubernetes, including backup, failover, and incident response processes. Collaboration & Enablement: Work cross-functionally with backend, frontend, and QA teams to enhance deployment processes, improve infrastructure reliability, and reduce developer friction. Incident Management: Act as an escalation point for critical infrastructure issues, lead incident resolution efforts, and drive post-incident reviews to prevent recurrence. Requirements - 5+ years of DevOps or SRE experience, including 2+ years in a leadership capacity. - Expert in Kubernetes (GKE) and GitOps workflows with ArgoCD. - Deep experience in GCP infrastructure and Terraform-based IaC. - Hands-on experience with OpenTelemetry for distributed tracing and system instrumentation. - Strong expertise in Grafana, Datadog, and Sentry. - Operational experience with PostgreSQL, Elasticsearch, and ClickHouse in production environments. - Strong debugging, incident management, and communication skills. - Proven track record of leading DevOps initiatives in fast-paced environments. Nice to Have - Helm, Kustomize, and OPA/Gatekeeper experience. - Cloud cost optimization experience on GCP. - Familiarity with secret management solutions. - Experience with blue-green or canary deployments.","2025-05-28",""
"Full-Stack Development Team for Ongoing Product Development & App Maintenance","$600K+
spent","Hourly: $12.00 - $25.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Golang, Vue.js, Nuxt.js, Python, Web Application, PostgreSQL, NGINX","Yes","gcp","https://www.upwork.com/jobs/Full-Stack-Development-Team-for-Ongoing-Product-Development-App-Maintenance_~021909355687180331228/?referrer_url_path=/nx/search/jobs/","We are seeking a skilled development team to assist with ongoing product development and app maintenance. The ideal team will have expertise in the following technologies: GoLang & gRPC for backend development Python/Django for web application development Google Cloud Platform (GCP) and Kubernetes for scalable deployment and infrastructure Vue/Nuxt for frontend development Key requirements include: Ability to conduct weekly product pushes to ensure continuous improvement 24/7 app monitoring to ensure optimal uptime and performance This is a long-term collaboration aimed at driving product growth while maintaining a robust and high-performing application. If your team has experience with these technologies and can support both development and maintenance efforts, we'd love to hear from you.","2025-05-28",""
"FastAPI Backend & DevOps Engineer","$300K+
spent","Hourly: $15.00 - $100.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Python, CI/CD, Terraform, SQL, Docker, DevOps, AWS Application","Yes","gcp","https://www.upwork.com/jobs/FastAPI-Backend-DevOps-Engineer_~021927664652788088676/?referrer_url_path=/nx/search/jobs/","We are developing an AI-driven platform to deliver personalized health reports and services at scale. As a FastAPI Backend & DevOps Engineer, you will be responsible for designing, building, and operating the core backend services and cloud infrastructure that underpin our solution. This role requires both strong software engineering skills and practical DevOps experience, allowing you to take full ownership from code development through deployment and monitoring. Key Responsibilities Backend Development: Design and implement RESTful APIs using FastAPI for data ingestion, processing, report delivery, and data visualizations. Optimize Python code for high performance, reliability, and maintainability. Manage database interactions, migrations, and versioning for both relational (SQL) and NoSQL (Firestore) data stores CI/CD & Containerization: Develop and maintain GitHub Actions and AWS CodeBuild pipelines to automate unit testing, container builds, and deployments. Build and manage Docker images Cloud Operations: Deploy and operate services in GCP Cloud Run and AWS (including Bedrock-powered ML workloads and batch jobs). Implement cost-optimization strategies, including right-sizing resources and efficient job scheduling. Infrastructure as Code: Implement Terraform for provisioning and managing cloud resources in AWS and GCP. Define reusable modules and enforce best practices for configuration, security, and scalability. Required Qualifications: Professional experience developing production APIs with FastAPI Proficiency in Python async programming, dependency injection, and Pydantic model validation. Hands-on experience building CI/CD workflows in GitHub Actions and/or AWS CodeBuild. Demonstrated expertise with Docker, container orchestration, and deployment to GCP Cloud Run. Solid understanding of AWS services, including IAM, batch processing, and integration of AI/ML workloads. Experience with Terraform to provision and manage cloud infrastructure. Experience working with both SQL databases (e.g., Postgres, MySQL) and NoSQL stores (Firestore). Prior experience deploying machine-learning or generative AI models in production (e.g., AWS Bedrock). Experience implementing security best practices: IAM policy design, secrets management, and automated vulnerability scanning. Knowledge of cost-management techniques in cloud environments","2025-05-28",""
"Backend API Developer (Python / FastAPI / GCP)","$300K+
spent","Hourly: $20.00 - $100.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Docker, REST API, PostgreSQL, DevOps, Unit Testing, CI/CD, FastAPI","Yes","gcp","https://www.upwork.com/jobs/Backend-API-Developer-Python-FastAPI-span-class-highlight-GCP-span_~021918256209378120955/?referrer_url_path=/nx/search/jobs/","Overview: We’re looking for an experienced backend developer to join our team and help us scale and improve our API. The system powers a Bubble.io frontend and ties into multiple batch jobs on Google Cloud Platform. You’ll be working primarily in Python (FastAPI) and managing a Postgres database, with plenty of opportunity to contribute to architecture and infrastructure decisions. This is a long-term, ongoing project with the chance to collaborate with a motivated team. What You’ll Be Working On: Build new API endpoints and improve existing ones using FastAPI Work closely with frontend developers and PMs to deliver reliable, well-documented features Maintain and optimize our PostgreSQL database Contribute to the design and execution of batch jobs and services running on GCP Use GitHub for version control, ClickUp for task management, and Slack for team communication What We’re Looking For: Strong backend experience with Python + FastAPI Solid understanding of PostgreSQL and relational database design Comfortable working with Docker and GCP Clear, consistent communication and the ability to work well with others in a remote team Ideal to Have: Familiarity with Bubble.io; have previously built an API used by Bubble Experience working with batch job orchestration and/or cloud-native pipelines","2025-05-28",""
"Backend API Developer (Python / FastAPI / GCP)","$300K+
spent","Hourly: $20.00 - $100.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Docker, REST API, PostgreSQL, DevOps, Unit Testing, CI/CD, FastAPI","Yes","gcp","https://www.upwork.com/jobs/Backend-API-Developer-Python-FastAPI-span-class-highlight-GCP-span_~021915050787466120704/?referrer_url_path=/nx/search/jobs/","Overview: We’re looking for an experienced backend developer to join our team and help us scale and improve our API. The system powers a Bubble.io frontend and ties into multiple batch jobs on Google Cloud Platform. You’ll be working primarily in Python (FastAPI) and managing a Postgres database, with plenty of opportunity to contribute to architecture and infrastructure decisions. This is a long-term, ongoing project with the chance to collaborate with a motivated team. What You’ll Be Working On: Build new API endpoints and improve existing ones using FastAPI Work closely with frontend developers and PMs to deliver reliable, well-documented features Maintain and optimize our PostgreSQL database Contribute to the design and execution of batch jobs and services running on GCP Use GitHub for version control, ClickUp for task management, and Slack for team communication What We’re Looking For: Strong backend experience with Python + FastAPI Solid understanding of PostgreSQL and relational database design Comfortable working with Docker and GCP Clear, consistent communication and the ability to work well with others in a remote team Ideal to Have: Familiarity with Bubble.io; have previously built an API used by Bubble Experience working with batch job orchestration and/or cloud-native pipelines","2025-05-28",""
"Senior Backend API Developer (Python / FastAPI / GCP)","$300K+
spent","Hourly: $20.00 - $100.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Docker, REST API, PostgreSQL, DevOps, Unit Testing, CI/CD, FastAPI","Yes","gcp","https://www.upwork.com/jobs/Senior-Backend-API-Developer-Python-FastAPI-span-class-highlight-GCP-span_~021927491618114750567/?referrer_url_path=/nx/search/jobs/","***We are seeking independent freelancers only. No agencies or third-party representatives, please. Summary: We’re looking for a senior backend developer to join our team and help us scale and improve our API. The system powers a Bubble.io frontend and ties into multiple batch jobs on Google Cloud Platform. You’ll be working primarily in Python (FastAPI) and managing a Postgres database, with plenty of opportunity to contribute to architecture and infrastructure decisions. This is a long-term, ongoing project with the chance to collaborate with a motivated team. What You’ll Be Working On: Build new API endpoints and improve existing ones using FastAPI Work closely with frontend developers and PMs to deliver reliable, well-documented features Maintain and optimize our PostgreSQL database Contribute to the design and execution of batch jobs and services running on GCP Use GitHub for version control, ClickUp for task management, and Slack for team communication What We’re Looking For: Strong backend experience with Python + FastAPI Solid understanding of PostgreSQL and relational database design Comfortable working with Docker and GCP Clear, consistent communication and the ability to work well with others in a remote team Ideal to Have: Familiarity with Bubble.io; have previously built an API used by Bubble Experience working with batch job orchestration and/or cloud-native pipelines","2025-05-28",""
"WordPress Migration To Google Cloud","$300K+
spent","Hourly: $25.00 - $50.00 Expert Est. time: 1 to 3 months, Less than 30 hrs/week","Yes","Google Cloud Platform, WordPress, Web Development, MySQL, PHP","No","gcp","https://www.upwork.com/jobs/WordPress-Migration-Google-Cloud_~021923042473965260222/?referrer_url_path=/nx/search/jobs/","I need an experienced Developer for a WordPress migration to Google Cloud Hosting. I tried it myself, but it seems difficult. What I have already done so far: Choose the right VM Installed WordPress on the VM instance I have access to WP Files via Filezilla by using the SSH codes The Problem is that the migration doesn't work, plugins like Migrate Guru are not working, and the upload of files is restricted to 80mb. I can not change it somehow because access is denied to the WP files. What I need: Running WP Site on Google Cloud Hosting with Google CDN A Gateway For Easy Access To All WP Files Easy handling Tutorial for all changed settings Regards","2025-05-28",""
